date,aircraft_total,median_line_cross,cross_rate,aircraft_type,ships_total,activity_start,activity_end,special_event
2026-01-01,3,0,0.0,manned,17,,,"三、中共空飄氣球活動： 
中共空飄氣球計偵獲2顆。"
2026-01-02,0,0,,zero,6,,,"四、中共空飄氣球活動： 
中共空飄氣球計偵獲2顆。"
2026-01-03,4,1,25.0,manned,6,,,"三、中共空飄氣球活動： 
中共空飄氣球計偵獲1顆。；越線：中部空域"
2026-01-04,0,0,,zero,5,,,"四、中共空飄氣球活動： 
中共空飄氣球計偵獲1顆。"
2026-01-05,3,3,100.0,manned,8,,,"三、中共空飄氣球活動： 
中共空飄氣球計偵獲2顆。"
2026-01-06,8,0,0.0,manned,7,,,"三、中共空飄氣球活動： 
中共空飄氣球計偵獲2顆。"
2026-01-07,11,9,82.0,manned,6,,,"三、中共空飄氣球活動： 
中共空飄氣球計偵獲1顆。；越線：北部及西南部空域"
2026-01-08,9,9,100.0,manned,5,,,越線：北部及西南部空域
2026-01-09,23,19,83.0,manned,6,,,越線：北部、中部、西南及東部空域
2026-01-10,3,0,0.0,manned,6,,,
2026-01-11,4,1,25.0,manned,6,,,越線：北部空域
2026-01-12,0,0,,zero,5,,,"四、中共空飄氣球活動： 
中共空飄氣球計偵獲4顆。"
2026-01-13,10,3,30.0,manned,5,,,越線：北部及西南空域
2026-01-14,20,17,85.0,manned,9,,,越線：北部、西南及東部空域
2026-01-15,9,9,100.0,manned,11,,,"三、中共空飄氣球活動： 
中共空飄氣球計偵獲1顆。；越線：北部、西南及東部空域"
2026-01-16,34,18,53.0,manned,11,,,越線：北部、中部、西南及東部空域
2026-01-17,26,7,27.0,manned,8,,,越線：北部、中部及西南空域
2026-01-18,9,3,33.0,manned,9,,,越線：西南空域
2026-01-19,2,2,100.0,manned,8,,,越線：西南空域
2026-01-20,2,1,50.0,manned,6,,,越線：北部空域
2026-01-21,4,0,0.0,manned,6,,,三、中共空飄氣球活動：中共空飄氣球計偵獲2顆。
2026-01-22,2,0,0.0,manned,5,,,三、中共空飄氣球活動：中共空飄氣球計偵獲5顆。
2026-01-23,11,9,82.0,manned,5,,,三、中共空飄氣球活動：中共空飄氣球計偵獲2顆。；越線：北部及西南空域
